,20,30,40,50,60,70,80,90,100
SurfFit_p1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
SurfFit_p2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
SurfFit_p3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_cycle2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_lastcycle,0.0,0.04313722332537893,0.017958929728827715,0.0273186297461915,0.022306907377469157,0.019956378759535546,0.032267245901323266,0.03927668514679002,0.03531980804442097
chargetime,0.10236714936700264,0.0832959044986818,0.04207588956090999,0.021926894801072395,0.012945880077300593,0.02776386621267351,0.025680493263298847,0.02425772281354443,0.023070801333009833
Tmax,-0.031050586545153892,-0.03050524752676891,-0.02662747106624425,-0.026435061241439056,-0.015186765745760139,-0.015614558643472607,-0.010670856824953976,-0.010403272739824927,-0.012410491263229472
log_slope_2pt9V_corr,-0.0,0.012778519812600135,-0.009240402620398028,-0.030808012529384265,-0.12057390658345889,0.0,-0.03710522366532769,0.0,0.0
log_int_2pt9V_corr,-0.0,-0.010924242913631949,-0.0,-0.0,0.09361133196992648,-0.046070456055842805,-0.0,-0.14859884082540217,-0.058115969114570426
log_DeltaQ_mean,0.0,-0.04291274401213127,-0.03870174999217052,-0.014257767664554307,-0.0,-0.01367447722756607,0.05213122086717193,0.02903681369219743,0.0
log_DeltaQ_var,-0.0069922131268286315,-0.017481363565341582,-0.04220503569931327,-0.07438580745602419,-0.10417572360698017,-0.053238158857957255,-0.13765652174829682,0.0,-0.06465654559291176
log_IR_min,-0.0,-0.038865563456456614,-0.016037029221449742,-0.02650731799048097,-0.025352916644434783,-0.02327331024499929,-0.028338831242319108,-0.02428051451076011,-0.02713766489427151
log_IR_diff,-0.03557608040270932,-0.015253890225625117,-0.048602387112501005,-0.018890219338285802,-0.019509818454931948,-0.0332369410331708,-0.011759830912075388,-0.012098871988865736,-0.010669843669869169
